心法ID	心法名称	心法战力值	心法类型(0=qte1=被动	职业限制	等级限制	心法等级	下一级ID	升级需要材料	技能图标名	技能描述格式化字符串id
2040509	기혈심마	25600	1	4	89	9	2040510	6,66040009,35;	icon_method_4_8	적의 체력이 90%를 넘을 경우, 60%의 피해 추가
2040510	기혈심마	51200	1	4	99	10			icon_method_4_8	적의 체력이 90%를 넘을 경우, 70%의 피해 추가
2040601	탐랑검기	100	1	4	1	1	2040602	6,66040003,1;	icon_method_4_3	일반 공격 시 5% 확률로 적에게 일반 공격을 1회 추가
2040602	탐랑검기	200	1	4	20	2	2040603	6,66040003,2;	icon_method_4_3	일반 공격 시 6% 확률로 적에게 일반 공격을 1회 추가
2040603	탐랑검기	400	1	4	30	3	2040604	6,66040003,5;	icon_method_4_3	일반 공격 시 7% 확률로 적에게 일반 공격을 1회 추가
2040604	탐랑검기	800	1	4	40	4	2040605	6,66040003,10;	icon_method_4_3	일반 공격 시 8% 확률로 적에게 일반 공격을 1회 추가
2040605	탐랑검기	1600	1	4	50	5	2040606	6,66040003,15;	icon_method_4_3	일반 공격 시 9% 확률로 적에게 일반 공격을 1회 추가
2040606	탐랑검기	3200	1	4	60	6	2040607	6,66040003,20;	icon_method_4_3	일반 공격 시 10% 확률로 적에게 일반 공격을 1회 추가
2040607	탐랑검기	6400	1	4	70	7	2040608	6,66040003,25;	icon_method_4_3	일반 공격 시 11% 확률로 적에게 일반 공격을 1회 추가
2040608	탐랑검기	12800	1	4	80	8	2040609	6,66040003,30;	icon_method_4_3	일반 공격 시 12% 확률로 적에게 일반 공격을 1회 추가
2040609	탐랑검기	25600	1	4	90	9	2040610	6,66040003,35;	icon_method_4_3	일반 공격 시 13% 확률로 적에게 일반 공격을 1회 추가
2040610	탐랑검기	51200	1	4	100	10			icon_method_4_3	일반 공격 시 15% 확률로 적에게 일반 공격을 1회 추가
2040701	혈독주	100	1	4	1	1	2040702	6,66040008,1;	icon_method_4_1	공격받을 시 5% 확률로 방어막이 발동, 1회 방어. 방어막은 5초간 지속, 10초당 최대 1회 발동 가능
2040702	혈독주	200	1	4	21	2	2040703	6,66040008,2;	icon_method_4_1	공격받을 시 6% 확률로 방어막이 발동, 1회 방어. 방어막은 5초간 지속, 10초당 최대 1회 발동 가능
2040703	혈독주	400	1	4	31	3	2040704	6,66040008,5;	icon_method_4_1	공격받을 시 7% 확률로 방어막이 발동, 1회 방어. 방어막은 5초간 지속, 10초당 최대 1회 발동 가능
2040704	혈독주	800	1	4	41	4	2040705	6,66040008,10;	icon_method_4_1	공격받을 시 8% 확률로 방어막이 발동, 1회 방어. 방어막은 5초간 지속, 10초당 최대 1회 발동 가능
2040705	혈독주	1600	1	4	51	5	2040706	6,66040008,15;	icon_method_4_1	공격받을 시 9% 확률로 방어막이 발동, 1회 방어. 방어막은 5초간 지속, 10초당 최대 1회 발동 가능
2040706	혈독주	3200	1	4	61	6	2040707	6,66040008,20;	icon_method_4_1	공격받을 시 10% 확률로 방어막이 발동, 1회 방어. 방어막은 5초간 지속, 10초당 최대 1회 발동 가능
2040707	혈독주	6400	1	4	71	7	2040708	6,66040008,25;	icon_method_4_1	공격받을 시 11% 확률로 방어막이 발동, 1회 방어. 방어막은 5초간 지속, 10초당 최대 1회 발동 가능
2040708	혈독주	12800	1	4	81	8	2040709	6,66040008,30;	icon_method_4_1	공격받을 시 12% 확률로 방어막이 발동, 1회 방어. 방어막은 5초간 지속, 10초당 최대 1회 발동 가능
2040709	혈독주	25600	1	4	91	9	2040710	6,66040008,35;	icon_method_4_1	공격받을 시 13% 확률로 방어막이 발동, 1회 방어. 방어막은 5초간 지속, 10초당 최대 1회 발동 가능
2040710	혈독주	51200	1	4	101	10			icon_method_4_1	공격받을 시 15% 확률로 방어막이 발동, 1회 방어. 방어막은 5초간 지속, 10초당 최대 1회 발동 가능
2040801	파군결	100	1	4	1	1	2040802	6,66040005,1;	icon_method_4_5	연속공격이 많을수록 피해량이 높아진다. 최고 10% 증가
2040802	파군결	200	1	4	22	2	2040803	6,66040005,2;	icon_method_4_5	연속공격이 많을수록 피해량이 높아진다. 최고 12% 증가
2040803	파군결	400	1	4	32	3	2040804	6,66040005,5;	icon_method_4_5	연속공격이 많을수록 피해량이 높아진다. 최고 14% 증가
2040804	파군결	800	1	4	42	4	2040805	6,66040005,10;	icon_method_4_5	연속공격이 많을수록 피해량이 높아진다. 최고 16% 증가
2040805	파군결	1600	1	4	52	5	2040806	6,66040005,15;	icon_method_4_5	연속공격이 많을수록 피해량이 높아진다. 최고 18% 증가
2040806	파군결	3200	1	4	62	6	2040807	6,66040005,20;	icon_method_4_5	연속공격이 많을수록 피해량이 높아진다. 최고 20% 증가
2040807	파군결	6400	1	4	72	7	2040808	6,66040005,25;	icon_method_4_5	연속공격이 많을수록 피해량이 높아진다. 최고 22% 증가
2040808	파군결	12800	1	4	82	8	2040809	6,66040005,30;	icon_method_4_5	연속공격이 많을수록 피해량이 높아진다. 최고 24% 증가
2040809	파군결	25600	1	4	92	9	2040810	6,66040005,35;	icon_method_4_5	연속공격이 많을수록 피해량이 높아진다. 최고 27% 증가
2040810	파군결	51200	1	4	102	10			icon_method_4_5	연속공격이 많을수록 피해량이 높아진다. 최고 30% 증가
2040901	서혼결	100	1	4	1	1	2040902	6,66040006,1;	icon_method_4_6	공격 시 10% 확률로 피해의 50%를 자신의 체력으로 전환
2040902	서혼결	200	1	4	23	2	2040903	6,66040006,2;	icon_method_4_6	공격 시 10% 확률로 피해의 55%를 자신의 체력으로 전환
2040903	서혼결	400	1	4	33	3	2040904	6,66040006,5;	icon_method_4_6	공격 시 10% 확률로 피해의 60%를 자신의 체력으로 전환
2040904	서혼결	800	1	4	43	4	2040905	6,66040006,10;	icon_method_4_6	공격 시 10% 확률로 피해의 65%를 자신의 체력으로 전환
2040905	서혼결	1600	1	4	53	5	2040906	6,66040006,15;	icon_method_4_6	공격 시 10% 확률로 피해의 70%를 자신의 체력으로 전환
2040906	서혼결	3200	1	4	63	6	2040907	6,66040006,20;	icon_method_4_6	공격 시 10% 확률로 피해의 75%를 자신의 체력으로 전환
2040907	서혼결	6400	1	4	73	7	2040908	6,66040006,25;	icon_method_4_6	공격 시 10% 확률로 피해의 80%를 자신의 체력으로 전환
2040908	서혼결	12800	1	4	83	8	2040909	6,66040006,30;	icon_method_4_6	공격 시 10% 확률로 피해의 85%를 자신의 체력으로 전환
2040909	서혼결	25600	1	4	93	9	2040910	6,66040006,35;	icon_method_4_6	공격 시 10% 확률로 피해의 90%를 자신의 체력으로 전환
2040910	서혼결	51200	1	4	103	10			icon_method_4_6	공격 시 10% 확률로 피해의 100%를 자신의 체력으로 전환
2041001	독랑인	100	1	4	1	1	2041002	6,66040010,1;	icon_method_4_10	일반 공격 시 5% 확률로 적을 기절시킴. 1초간 지속
2041002	독랑인	200	1	4	24	2	2041003	6,66040010,2;	icon_method_4_10	일반 공격 시 6% 확률로 적을 기절시킴. 1초간 지속
2041003	독랑인	400	1	4	34	3	2041004	6,66040010,5;	icon_method_4_10	일반 공격 시 7% 확률로 적을 기절시킴. 1초간 지속
2041004	독랑인	800	1	4	44	4	2041005	6,66040010,10;	icon_method_4_10	일반 공격 시 8% 확률로 적을 기절시킴. 1초간 지속
2041005	독랑인	1600	1	4	54	5	2041006	6,66040010,15;	icon_method_4_10	일반 공격 시 9% 확률로 적을 기절시킴. 1초간 지속
2041006	독랑인	3200	1	4	64	6	2041007	6,66040010,20;	icon_method_4_10	일반 공격 시 10% 확률로 적을 기절시킴. 1초간 지속
2041007	독랑인	6400	1	4	74	7	2041008	6,66040010,25;	icon_method_4_10	일반 공격 시 11% 확률로 적을 기절시킴. 1초간 지속
2041008	독랑인	12800	1	4	84	8	2041009	6,66040010,30;	icon_method_4_10	일반 공격 시 12% 확률로 적을 기절시킴. 1초간 지속
2041009	독랑인	25600	1	4	94	9	2041010	6,66040010,35;	icon_method_4_10	일반 공격 시 13% 확률로 적을 기절시킴. 1초간 지속
2041010	독랑인	51200	1	4	104	10			icon_method_4_10	일반 공격 시 15% 확률로 적을 기절시킴. 1초간 지속
